Day,City 1 (Kuala Lumpur Malaysia),City 2 (La Paz Bolivia),City 3 (Lisbon Portugal)
Day 1,28,12,22
Day 2,29,14,23
Day 3,30,15,24
Day 4,31,16,25
Day 5,32,13,24
Day 6,33,11,23
Day 7,31,10,22
Day 8,30,9,21
Day 9,29,14,20
Day 10,28,15,19
Day 11,32,13,22
Day 12,34,12,24
Day 13,33,11,25
Day 14,31,10,23
Day 15,30,9,22
Day 16,29,13,21
Day 17,28,14,20
Day 18,30,15,19
Day 19,32,12,20
Day 20,33,11,21
Day 21,34,10,22
Day 22,35,9,23
Day 23,33,12,24
Day 24,32,13,25
Day 25,31,14,23
Day 26,30,15,22
Day 27,29,12,21
Day 28,28,11,20
Day 29,30,10,19
Day 30,31,9,20
